id,title,year,credit,country,state,city,latitude,longitude
2017713470,"Chestnut Lodge, Oquaga Lake, Deposit, New York",1987.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Deposit,,
2017706371,"Big City News, Milam & Bell Streets, Houston, Texas",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Houston,29.76328,-95.36327
2017710971,"Claridge & Sands Casinos, Atlantic City, New Jersey",1985.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New Jersey,Atlantic City,39.36415,-74.42306
2017706447,"G.G. Wacker, Texas City, Texas",1983.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Texas City,29.38385,-94.9027
2017711370,"Surfcomber Hotel, Miami Beach, Florida",1980.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Florida,Miami Beach,25.79065,-80.13005
2017707972,"Radio City, Ferndale, Michigan",1976.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Michigan,Ferndale,42.46059,-83.13465
2017703102,"Mineral Wells High School, angle 2, Hibbard Street, Mineral Wells, Texas",1993.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,Texas,Mineral Wells,32.80846,-98.11282
2017713337,"Fallsview pool, Ellenville, New York",1977.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Ellenville,,
2017713253,"Mountain Lake Manor, from water, Bloomington, New York",1976.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,New York ,Bloomington,,
2017703047,"Carson Block, angle 1, 2nd Street, Eureka, California",2003.,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division.",United States,California,Eureka,40.80207,-124.16367
